drive_id,start_yardline,start_time_left,start_posteam_score,start_defteam_score,drive_result,time_elapsed,posteam_score_change,defteam_score_change,next_drive_start_yardline
2016_01_BUF_BAL_1,86,3597.0,0.0,0.0,PUNT,185.0,0.0,0.0,68.0
2016_01_BUF_BAL_2,68,3404.0,0.0,0.0,PUNT,122.0,0.0,0.0,66.0
2016_01_BUF_BAL_3,66,3273.0,0.0,0.0,FUMBLE,148.0,0.0,0.0,47.0
2016_01_BUF_BAL_4,47,3120.0,0.0,0.0,PUNT,90.0,0.0,0.0,91.0
2016_01_BUF_BAL_5,91,3022.0,0.0,0.0,FIELD_GOAL,281.0,3.0,0.0,75.0
2016_01_BUF_BAL_6,75,2735.0,0.0,3.0,PUNT,148.0,0.0,0.0,85.0
2016_01_BUF_BAL_7,85,2579.0,3.0,0.0,TOUCHDOWN,168.0,7.0,0.0,75.0
2016_01_BUF_BAL_8,75,2411.0,0.0,10.0,TOUCHDOWN,429.0,7.0,0.0,77.0
2016_01_BUF_BAL_9,77,1976.0,10.0,7.0,END_HALF,134.0,0.0,0.0,75.0
2016_01_BUF_BAL_10,75,1800.0,7.0,10.0,MISSED_FG,377.0,0.0,0.0,61.0
2016_01_BUF_BAL_11,61,1417.0,10.0,7.0,PUNT,54.0,0.0,0.0,72.0
2016_01_BUF_BAL_12,72,1352.0,7.0,10.0,PUNT,194.0,0.0,0.0,91.0
2016_01_BUF_BAL_13,91,1149.0,10.0,7.0,DOWNS,203.0,0.0,0.0,58.0
2016_01_BUF_BAL_14,58,936.0,7.0,10.0,PUNT,77.0,0.0,0.0,70.0
2016_01_BUF_BAL_15,70,852.0,10.0,7.0,PUNT,73.0,0.0,0.0,65.0
2016_01_BUF_BAL_16,65,771.0,7.0,10.0,PUNT,65.0,0.0,0.0,78.0
2016_01_BUF_BAL_17,78,698.0,10.0,7.0,FIELD_GOAL,356.0,3.0,0.0,78.0
2016_01_BUF_BAL_18,78,335.0,7.0,13.0,PUNT,52.0,0.0,0.0,64.0
2016_01_BUF_BAL_19,64,269.0,13.0,7.0,END_GAME,230.0,0.0,0.0,44.0
2016_01_CAR_DEN_1,75,3600.0,0.0,0.0,FUMBLE,193.0,0.0,0.0,71.0
2016_01_CAR_DEN_2,71,3397.0,0.0,0.0,TOUCHDOWN,264.0,7.0,0.0,75.0
2016_01_CAR_DEN_3,75,3133.0,0.0,7.0,INTERCEPTION,364.0,0.0,0.0,64.0
2016_01_CAR_DEN_4,64,2763.0,7.0,0.0,PUNT,63.0,0.0,0.0,80.0
2016_01_CAR_DEN_5,80,2692.0,0.0,7.0,TOUCHDOWN,156.0,7.0,0.0,89.0
2016_01_CAR_DEN_6,89,2529.0,7.0,7.0,TOUCHDOWN,548.0,7.0,0.0,75.0
2016_01_CAR_DEN_7,75,1981.0,7.0,14.0,PUNT,66.0,0.0,0.0,78.0
2016_01_CAR_DEN_8,78,1905.0,14.0,7.0,FIELD_GOAL,98.0,3.0,0.0,75.0
2016_01_CAR_DEN_9,75,1803.0,7.0,17.0,END_HALF,0.0,0.0,0.0,75.0
2016_01_CAR_DEN_10,75,1800.0,17.0,7.0,PUNT,207.0,0.0,0.0,80.0
2016_01_CAR_DEN_11,80,1584.0,7.0,17.0,INTERCEPTION,127.0,0.0,0.0,89.0
2016_01_CAR_DEN_12,89,1450.0,17.0,7.0,PUNT,84.0,0.0,0.0,86.0
2016_01_CAR_DEN_13,86,1350.0,7.0,17.0,PUNT,99.0,0.0,0.0,61.0
2016_01_CAR_DEN_14,61,1239.0,17.0,7.0,PUNT,89.0,0.0,0.0,78.0
2016_01_CAR_DEN_15,78,1138.0,7.0,17.0,TOUCHDOWN,248.0,7.0,0.0,75.0
