,Team 0,Team 1,Kicking Team,Winning Team,Kicking Team Won,Receiving Team Won,Tie Game,Team 0 Score,Team 0 Scoring,Team 1 Score,Team 1 Scoring,Team 0 Drives,Team 1 Drives,time_remaining,OT Summary
0,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],2,1,34.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 16 yardline
Receiving Team kicks a field goal.
Receiving Team kicks off. 
Kicking Team: 0, Receiving Team: 3.  2:54 Remaining
Kicking Team starts their drive at their own 24 yardline
Kicking Team went for it and succeeded on fourth down.
Kicking Team starts their drive at the opponents 43.0 yardline
Kicking Team turns the ball over via DOWNS.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  0:34 Remaining
"
1,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],1,1,0.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team kicks a field goal.
Receiving Team kicks off. 
Kicking Team: 0, Receiving Team: 3.  6:00 Remaining
Kicking Team starts their drive at their own 25 yardline
Kicking Team went for it and failed on fourth down.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  0:00 Remaining
"
2,Kicking Team,Receiving Team,Kicking Team,Kicking Team,1,0,0,7,['TD'],3,['FG'],1,1,105.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team kicks a field goal.
Receiving Team kicks off. 
Kicking Team: 0, Receiving Team: 3.  6:00 Remaining
Kicking Team starts their drive at their own 25 yardline
Kicking Team scores a touchdown.
Extra point is good.
Kicking Team wins. Kicking Team: 7, Receiving Team: 3.  1:45 Remaining
"
3,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],1,2,163.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  8:50 Remaining
Kicking Team starts their drive at their own 17.0 yardline
Kicking Team turns the ball over via INTERCEPTION.
Kicking Team: 0, Receiving Team: 0.  8:03 Remaining
Receiving Team starts their drive at the opponents 46.0 yardline
Receiving Team kicks a field goal.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  2:43 Remaining
"
4,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],1,2,4.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team turns the ball over via INTERCEPTION.
Kicking Team: 0, Receiving Team: 0.  5:44 Remaining
Kicking Team starts their drive at their own 28.0 yardline
Kicking Team punts.
Kicking Team: 0, Receiving Team: 0.  2:55 Remaining
Receiving Team starts their drive at their own 15.0 yardline
Receiving Team kicks a field goal.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  0:04 Remaining
"
5,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],1,1,105.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team kicks a field goal.
Receiving Team kicks off. 
Kicking Team: 0, Receiving Team: 3.  6:04 Remaining
Kicking Team starts their drive at their own 22 yardline
Kicking Team went for it and failed on fourth down.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  1:45 Remaining
"
6,Kicking Team,Receiving Team,Kicking Team,Receiving Team,0,1,0,0,[],3,['FG'],1,2,270.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at the opponents 44 yardline
Receiving Team turns the ball over via FUMBLE.
Kicking Team: 0, Receiving Team: 0.  9:53 Remaining
Kicking Team starts their drive at the opponents 48.0 yardline
Kicking Team punts.
Kicking Team: 0, Receiving Team: 0.  9:22 Remaining
Receiving Team starts their drive at their own 9.0 yardline
Receiving Team kicks a field goal.
Receiving Team wins. Kicking Team: 0, Receiving Team: 3.  4:30 Remaining
"
7,Kicking Team,Receiving Team,Kicking Team,Kicking Team,1,0,0,3,['FG'],0,[],2,2,0.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  8:25 Remaining
Kicking Team starts their drive at their own 3.0 yardline
Kicking Team punts.
Kicking Team: 0, Receiving Team: 0.  3:34 Remaining
Receiving Team starts their drive at their own 12.0 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  2:20 Remaining
Kicking Team starts their drive at their own 40.0 yardline
Kicking Team kicks a field goal.
Kicking Team wins. Kicking Team: 3, Receiving Team: 0.  0:00 Remaining
"
8,Kicking Team,Receiving Team,Kicking Team,TIE,0,0,1,0,[],0,[],2,3,0.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 25 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  8:03 Remaining
Kicking Team starts their drive at their own 7.0 yardline
Kicking Team punts.
Kicking Team: 0, Receiving Team: 0.  5:06 Remaining
Receiving Team starts their drive at their own 43.0 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  2:54 Remaining
Kicking Team starts their drive at their own 12.0 yardline
Kicking Team punts.
Kicking Team: 0, Receiving Team: 0.  0:55 Remaining
Receiving Team starts their drive at their own 9.0 yardline
Time runs out.
The game ends in a tie. Kicking Team: 0, Receiving Team: 0.  0:00 Remaining
"
9,Kicking Team,Receiving Team,Kicking Team,Kicking Team,1,0,0,3,['FG'],0,[],1,1,254.0,"Kicking Team kicks off. 
Kicking Team: 0, Receiving Team: 0.  10:00 Remaining
Receiving Team starts their drive at their own 21 yardline
Receiving Team punts.
Kicking Team: 0, Receiving Team: 0.  8:22 Remaining
Kicking Team starts their drive at their own 16.0 yardline
Kicking Team kicks a field goal.
Kicking Team wins. Kicking Team: 3, Receiving Team: 0.  4:14 Remaining
"
